"","BillTrack.Link","State.Link"
"127","https://www.billtrack50.com/billdetail/1304810","https://www.legis.iowa.gov/docs/publications/LGI/89/HF405.pdf"
"128","https://www.billtrack50.com/billdetail/1451372","https://www.legis.iowa.gov/docs/publications/LGI/89/HF2309.pdf"
"129","https://www.billtrack50.com/billdetail/1456747","https://www.legis.iowa.gov/docs/publications/LGE/89/HF2416.pdf"
"130","https://www.billtrack50.com/billdetail/1456747","https://www.legis.iowa.gov/docs/publications/LGR/89/HF2416.pdf"
"131","https://www.billtrack50.com/billdetail/1456747","https://www.legis.iowa.gov/docs/publications/LGI/89/HF2416.pdf"
"132","https://www.billtrack50.com/billdetail/1430242","https://www.legis.iowa.gov/docs/publications/LGI/89/HSB593.pdf"
"133","https://www.billtrack50.com/billdetail/1298828","https://www.legis.iowa.gov/docs/publications/LGI/89/SF224.pdf"
"134","https://www.billtrack50.com/billdetail/1326332","https://www.legis.iowa.gov/docs/publications/LGI/89/SF436.pdf"
"135","https://www.billtrack50.com/billdetail/1424397","https://www.legis.iowa.gov/docs/publications/LGI/89/SF2025.pdf"
"136","https://www.billtrack50.com/billdetail/1443889","https://www.legis.iowa.gov/docs/publications/LGI/89/SF2170.pdf"
"137","https://www.billtrack50.com/billdetail/1448855","https://www.legis.iowa.gov/docs/publications/LGI/89/SF2205.pdf"
"138","https://www.billtrack50.com/billdetail/1456423","https://www.legis.iowa.gov/docs/publications/LGI/89/SF2284.pdf"
"139","https://www.billtrack50.com/billdetail/1458476","https://www.legis.iowa.gov/docs/publications/LGI/89/SF2342.pdf"
"140","https://www.billtrack50.com/billdetail/1457146","https://www.legis.iowa.gov/docs/publications/LGI/89/SSB3146.pdf"
"141","https://www.billtrack50.com/billdetail/1300320","http://kslegislature.org/li/b2021_22/measures/documents/hb2210_00_0000.pdf"
"142","https://www.billtrack50.com/billdetail/1451809","http://kslegislature.org/li/b2021_22/measures/documents/hb2662_02_0000.pdf"
"143","https://www.billtrack50.com/billdetail/1451809","http://kslegislature.org/li/b2021_22/measures/documents/hb2662_01_0000.pdf"
"144","https://www.billtrack50.com/billdetail/1451809","http://kslegislature.org/li/b2021_22/measures/documents/hb2662_00_0000.pdf"
"145","https://www.billtrack50.com/billdetail/1280980","http://kslegislature.org/li/b2021_22/measures/documents/sb58_enrolled.pdf"
"146","https://www.billtrack50.com/billdetail/1280980","http://kslegislature.org/li/b2021_22/measures/documents/sb58_01_0000.pdf"
"147","https://www.billtrack50.com/billdetail/1280980","http://kslegislature.org/li/b2021_22/measures/documents/sb58_00_0000.pdf"
"148","https://www.billtrack50.com/billdetail/1305405","http://kslegislature.org/li/b2021_22/measures/documents/sb160_enrolled.pdf"
"149","https://www.billtrack50.com/billdetail/1305405","http://kslegislature.org/li/b2021_22/measures/documents/sb160_01_0000.pdf"
"150","https://www.billtrack50.com/billdetail/1305405","http://kslegislature.org/li/b2021_22/measures/documents/sb160_00_0000.pdf"
"151","https://www.billtrack50.com/billdetail/1311231","http://kslegislature.org/li/b2021_22/measures/documents/sb208_01_0000.pdf"
"152","https://www.billtrack50.com/billdetail/1311231","http://kslegislature.org/li/b2021_22/measures/documents/sb208_00_0000.pdf"
"153","https://www.billtrack50.com/billdetail/1310600","http://kslegislature.org/li/b2021_22/measures/documents/sb214_00_0000.pdf"
"154","https://www.billtrack50.com/billdetail/1451901","http://kslegislature.org/li/b2021_22/measures/documents/sb484_00_0000.pdf"
